"Story","Title","Result","Date","Stability","Duration (s)"
"Detail Data Pasien - Admin","As a admin i want to detail data pasien","SUCCESS","2022-07-16T12:40:08.515127+07:00[Asia/Bangkok]","0.0","23.92"
"Detail Review Arsip Jadwal - Admin","As a admin i want to Review archive","FAILURE","2022-07-16T12:40:32.4465223+07:00[Asia/Bangkok]","0.0","28.41"
"Edit Data Dokter - Admin","As a admin i want to edit data dokter - Valid","ERROR","2022-07-16T12:41:00.8758069+07:00[Asia/Bangkok]","0.0","33.03"
"Edit Data Dokter - Admin","As a admin i want to edit data dokter - Invalid","ERROR","2022-07-16T12:41:33.9409739+07:00[Asia/Bangkok]","0.0","206.06"
"Edit Data Pasien - Admin","As a admin i want to edit data pasien (JK Perempuan) - Valid","SUCCESS","2022-07-16T12:45:00.0084549+07:00[Asia/Bangkok]","0.0","39.94"
"Edit Data Pasien - Admin","As a admin i want to edit data pasien (JK Perempuan) - Invalid","SUCCESS","2022-07-16T12:45:39.9550973+07:00[Asia/Bangkok]","0.0","175.08"
"Search Arsip Jadwal - Admin","As a admin i want to search archive","SUCCESS","2022-07-16T12:48:35.0632513+07:00[Asia/Bangkok]","0.0","60.57"
"Search Data Dokter - Admin","As a admin i want to delete data dokter","FAILURE","2022-07-16T12:49:35.6472869+07:00[Asia/Bangkok]","0.0","60.38"
"Search Data Pasien - Admin","As a admin i want to search data pasien","SUCCESS","2022-07-16T12:50:36.0456701+07:00[Asia/Bangkok]","0.0","61.35"
"Search Kelola Jadwal - Admin","As a admin i want to search manage schedule","SUCCESS","2022-07-16T12:51:37.4081486+07:00[Asia/Bangkok]","0.0","57.47"
"View Arsip Jadwal - Admin","As a admin i want to View archive","SUCCESS","2022-07-16T12:52:34.9032122+07:00[Asia/Bangkok]","0.0","21.95"
"View Data Dokter - Admin","As a admin i want to view data dokter","SUCCESS","2022-07-16T12:52:56.8688916+07:00[Asia/Bangkok]","0.0","22.28"
"View Data Pasien - Admin","As a admin i want to view data pasien","SUCCESS","2022-07-16T12:53:19.1631137+07:00[Asia/Bangkok]","0.0","20.17"
"View Kelola Jadwal - Admin","As a admin i want to View Manage Schedule","FAILURE","2022-07-16T12:53:39.3380689+07:00[Asia/Bangkok]","0.0","23.2"
